Ssvm World School,"No 72/2, Vaigai Nagar Singanallur To Vellalore Road Pattanam, Ondipudur, Coimbatore - 641016",+(91)-422-3358416,http://www.ssvmws.com,2009,4.4,"Schools , CBSE Schools , International Schools"
Parth International School,"No 105, Mtp Road Ruckammal Colony, Thudialur, Coimbatore - 641034, Opposite Viswanathapuram Near Kan...",+(91)-422-3372325,http://www.parthglobal.org,*basic Facilities-,4.7,"Schools , CBSE Schools , English Medium Schools , ICSE Schools , International Schools , Kindergartens , Pre Nursery Schools , Day Nurseries, Nursery Schools & Kindergardens"
The New School,"No 51, Curio Garden, Ganga Street, Vadavalli, Coimbatore - 641041, Navavoor Pirivu",+(91)-422-3361494,,2013,5.0,"Schools , Playgroups , Nursery Schools , Kindergartens , Montessori Schools , Pre Nursery Schools , Junior KG"
Maharishi Vidya Mandir Senior Secondary School,"559 Ramanis Mayuri, Thudialur Road, Chinnavedampatti, Coimbatore - 641049, Near Sunambu Kalvai Bus S...",+(91)-422-3373934,http://www.mvmcbe.com,Classes : Pre Kg  To  8th Std,4.2,"Schools , CBSE Schools , English Medium Schools , Nursery Schools , Senior Secondary Schools , Primary Schools"
Nakshatra International School,"No 1 Meenakshi Gardens, Mettupalayam Road, Thudialur, Coimbatore - 641034, Opposite To Vg Hospital",+(91)-422-3358009,http://www.nakshatraschool.com,2012,3.8,"Schools , CBSE Schools , Playgroups , International Schools , Kindergartens , Pre Nursery Schools"
Githanjali Public School,"No 383/1, Near Codissia Fair Grounds, Peelamedu, Coimbatore - 641004, Near Isckon",+(91)-422-3373383,http://www.githanjalipublicschool.com,2002,4.7,"Schools , CBSE Schools , English Medium Schools , ICSE Schools , Convent Schools , Nursery Schools , Kindergartens , High School , Public Schools , Senior Secondary Schools , School For Girls , Pre Nursery Schools , IGCSE Schools , Rbse Schools , Primary Schools , School Co Education , Day Nurseries, Nursery Schools & Kindergardens"
Victory Vidyalaya Matric Hr Sec School,"No 76, Victory Nager, Saravanampatti, Coimbatore - 641035, Near By Kappikadai Bus Stop",+(91)-422-3373392,http://www.victoryvidhyalaya.com,2002,5.0,"Schools , CBSE Schools , Boarding Schools , English Medium Schools"
Nise Nagarathinam International School Of Excellence,"Voc Colony Ellai Thottam Road, Peelamedu, Coimbatore - 641004, Backside Of Psg Tech",+(91)-422-3358187,http://www.nise.in,* Std : Pre Kg To 5th Std,4.0,"Schools , CBSE Schools , ICSE Schools , High School"
T V Sekharan Memorial Matriculation Hr Sec School,"No 5/7A, Perur Road Gokulam Colony, Kovaipudur, Coimbatore - 641042",+(91)-422-3361327,,1993,5.0,"Schools , Boarding Schools , Playgroups , English Medium Schools , Day Care Centres , Convent Schools , Kindergartens , Correspondence Schools , Residential Schools In Coimbatore"
K G Public Matric Hr Sec School,"K G Matric School Road, Pachapalayam, Perur, Coimbatore - 641010, Perur Via,",+(91)-422-3361509,http://www.kgpublicschool.com,2011,4.0,"Schools , CBSE Schools , Boarding Schools , English Medium Schools , ICSE Schools , International Schools , Convent Schools , CBSE Boarding Schools , Correspondence Schools , NOS Schools"
Manchester International School,"Sf No 29/3, Hudco Colony, Vellakinar, Coimbatore - 641029, Near Housing Unit",+(91)-422-3361000,http://www.manchesters.in,2009,4.0,"Schools , CBSE Schools , English Medium Schools , International Schools"
The Adhyayana International Public School,"No 518, Thondamputhur Road, Vadavalli, Coimbatore - 641041, Lakshmi Nagar Arch",+(91)-422-3361150,http://www.theadhyayana.in,2011,4.5,"Schools , CBSE Schools , International Schools , Public Schools"
Nava Bharat National School,"Sf No 142/2, Sathy Main Road, Annur, Coimbatore - 641653",+(91)-422-3371245,http://www.navabharath.net,2007,4.4,"Schools , CBSE Schools , Boarding Schools , English Medium Schools , International Schools , Convent Schools , Nursery Schools , Girls Boarding Schools , CBSE Boarding Schools , Senior Secondary Schools , Boys Boarding Schools , Day Boarding Schools , Pre Nursery Schools , CBSE Boarding Schools For Girls , CBSE Boarding Schools For Boys , Primary Schools"
Kennedy Matric Higher Secondary School,"Trichy Road, Mathiazagan Nagar, Sulur, Coimbatore - 641402",+(91)-422-3356738,http://www.kennedyschoolsulur.com,1984,3.0,"Schools , English Medium Schools , Schools- Academic- Elementary & Secondary"
Reeds World School,"S F No 40 Globuse Gardens, Thottipalayam Pirivu Road Kaikolampalayam, Chinniampalayam, Coimbatore - ...",+(91)-422-3371734,http://www.reedsws.com,Classes Taken On 2013-2014 Is Pre K G To 7th Std,4.3,"Schools , CBSE Schools , Boarding Schools , English Medium Schools , International Schools , CBSE Boarding Schools"
Sri Ambal Public School,"SRS Nagar, , Mettupalayam (Tk), Coimbatore - 641302, Sirumugai",+(91)-422-3359373,http://www.ambalschools.com,2009,4.3,"Schools , CBSE Schools , Boarding Schools , English Medium Schools , CBSE Boarding Schools , Senior Secondary Schools"
Ruby Matric Higher Secondary School,"New Keeranatham Road, Saravanampatti, Coimbatore - 641035, Near Kgisl",+(91)-422-3373701,http://www.rubyschool.in,1998,4.1,"Schools , English Medium Schools , Nursery Schools , High School , Primary Schools"
Tiny wingz play school & day care,"12 F 1st Floor, Raja Gopal Street, Kovai Thiru Nagar, Coimbatore Aerodrome, Coimbatore - 641014, Nea...",+(91)-422-3361064,http://www.tinywingz.com,2014,4.7,"Schools , Playgroups , Day Care Centres , Summer Camps , Summer Camp For Kids , Summer Camps For Chess , Summer Camp For Children , Yoga Camp"
Nairs Educational Institutions,"Ammans Nagar II, N G G O Colony, Coimbatore - 641022","+(91)-422-2642277 , +(91)-9786578655 , +(91)-9842978655 , 2522480 , 2909479",http://www.nairsvidhyamandhir.com,1999,5.0,"Schools , CBSE Schools , English Medium Schools , Educational Institutions , Nursery Schools , High School , Public Schools , Senior Secondary Schools , Primary Schools"
Anugraha Mandhir School,"Sf No 54/3, Appanayakkanpatti Main Road, Sulur, Coimbatore - 641402",+(91)-9360097005,http://www.anugrahaschools.com,2009,4.6,"Schools , Boarding Schools"
Vidhya Niketan Matriculation Higher Secondary School,"No 21/17-18, Puliyakulam Road, Puliyakulam, Coimbatore - 641045","+(91)-422-2223466 , 2221131",http://www.vidhyaniketan.com,,4.3,Schools
National Model Matriculation Higher Secondary School,"Avinashi Road, Peelamedu, Coimbatore - 641004","+(91)-422-2575544 , +(91)-9944491119 , 2575318 , 2591157",http://www.nationalmodelschool.com,,0.0,"Schools , CBSE Schools , English Medium Schools"
Suguna Pip School,"Kalapatty Road, Coimbatore Aerodrome, Coimbatore - 641014, Nehru Nagar","+(91)-422-2901210 , +(91)-9363209000 , 9344397470 , 9360075535 , 3244668 , 3244688",http://www.sugunapips.in,,4.2,"Schools , CBSE Schools , English Medium Schools"
Yuva Bharathi Public School,"YUVA Enclave, Thudiyalur Road, Coimbatore Central, Coimbatore - 641018, Somayampalayam Post","+(91)-422-6451127 , 3264848",http://www.yuvabharathi.ac.in,,4.1,"Schools , CBSE Schools , English Medium Schools"
Vidyaa Vikas Matriculation Higher Secondary School,"No 1/123, Mettupalayam Road, Karamadai, Coimbatore - 641104, Chikkarampalayam Post","+(91)-4254-272799 , +(91)-9487746999 , 271994",http://www.vidyaavikas.ac.in,,4.3,"Schools , English Medium Schools"
Stanes Anglo Indian Higher Secondary School,"Avinashi Road, Coimbatore Central, Coimbatore - 641018","+(91)-422-2213952 , 2217900",,,4.4,Schools
Kendriya Vidyalaya,"Meena Estate, Sowripalayam Road, Sowripalayam, Coimbatore - 641028",+(91)-422-2317030,http://www.kvcoimbatore.tn.nic.in,,4.3,"Schools , CBSE Schools , English Medium Schools"
The Indian Public School,"193, Sathy Road S.S. Kulam, Ganesapuram, Coimbatore - 641107, Near Info College","+(91)-422-6472222 , 2366666",http://www.theindianpublicschool.com,,4.3,"Schools , IGCSE Schools"
G D Matriculation Higher Secondary School,"No 2, K K Lane Old Post Office Road, Coimbatore Central, Coimbatore - 641018, Near Collectrate","+(91)-422-2303770 , 2300170",http://www.gdschoolcbe.com,,0.0,"Schools , English Medium Schools , Schools Nursery To VII"
Perks Matriculation Higher Secondary School,"No 57, Uppilipalayam, Coimbatore - 641015, Near Boat House","+(91)-422-2574290 , 2580709 , 3195290",,,4.2,"Schools , English Medium Schools"
The Psbb Millennium School,"No 237 & 238, Somayampalayam, Coimbatore - 641108","+(91)-422-2908237 , +(91)-9597494242 , 2400333 , 2402333",http://www.psbbmillenniumschool.org,,4.3,"Schools , CBSE Schools , CBSE Boarding Schools"
Chinmaya Vidyalaya CBSE Curriculum,"Thondamuthur Road, Vadavalli, COIMBATORE - 641041, Near Vadavalli Bus Terminus","+(91)-422-2423052 , +(91)-9944205803",,,4.0,"Schools , CBSE Schools , English Medium Schools"
Chinmaya International Residential School,"Siruvani Road, Karunyanagar, Coimbatore - 641114, Nallur Vayal P O","+(91)-422-2613303 , 2613317",http://www.cirschool.org,,4.5,"Schools , CBSE Schools , English Medium Schools , Residential Schools In Coimbatore"
Sboa Matriculation Higher Secondary School,"Telungapalayam, Coimbatore - 641039, Chokkampudur Beside Gandhi Park","+(91)-422-2470143 , 2470633",http://www.sboacbe.com,,4.2,Schools
PSG Public Schools,"Avinashi Road, Peelamedu, Coimbatore - 641004","+(91)-422-4344220 , 6530010 , 4344522",,,4.1,"Schools , CBSE Schools , English Medium Schools"
Avila Convent Matriculation Higher Secondary School,"Thadagam Road Sathy Road, Velandipalayam, Coimbatore - 641025, Near Amman Kovil","+(91)-422-2432443 , 2434404",,,4.1,"Schools , CBSE Schools"
Bharathi Matriculation Higher Secondary School,"No 307, Thadagam Road, Govt College Of Technology, Coimbatore - 641013, Opposite Government College ...",+(91)-422-2452187,,,4.3,"Schools , English Medium Schools , High School"
Yellow Train School,"No 80 / 70, Valluvar Street, Gandhipuram Coimbatore, Coimbatore - 641012, Sivananda Colony Opposite ...","+(91)-422-4521421 , +(91)-8870080060 , 9500675865 , 8220291777",http://www.yellowtrainschool.com,,4.1,"Schools , Playgroups , Kindergartens"
C S Academy,"Orchids Office, Vlb Engineering College Road, Kovaipudur, Coimbatore - 641042",+(91)-9487512481,http://www.csacademy.in,,4.2,"Schools , CBSE Schools , English Medium Schools , ICSE Schools"
Kendriya Vidyalaya,"No 5 Brd, Air Force Station, Kangayampalayam, Coimbatore - 641401, Sulur",+(91)-422-2683473,http://www.kvsulur.org,,4.6,"Schools , CBSE Schools , English Medium Schools"
Suguna Ripv Matriculation School,"No 102, Dr Radhakrishnan Road, Tatabad, Coimbatore - 641012, Doctors Colony","+(91)-422-2526714 , +(91)-9524492522 , 2524242",,,4.3,"Schools , English Medium Schools"
AVB Matriculation Higher Secondary School,"Sf No 272, Mettupalayam Road, Perianaickenpalayam, Coimbatore - 641020, Thekkuapalyam Near Rama Nara...","+(91)-422-6565100 , +(91)-9443999030 , 9787557385 , 2697179 , 2697189",http://www.avbschool.com,,4.3,"Schools , Boarding Schools"
Indian Public School,"Tatabad, Coimbatore - 641012","+(91)-422-6457777 , 6456666",,,4.0,Schools
Bharatiya Vidya Bhavan Matriculation Higher Secondary School,"No 582, D B Road, R S Puram, Coimbatore - 641002, Near Eye Foundation","+(91)-422-2556351 , 2542481",,,4.2,"Schools , English Medium Schools"
Camford International School,"No 574/1, Ganapathy, Coimbatore - 641006, Near Bus Stand Maniyakaranpalayam","+(91)-422-6056660 , +(91)-9688666662 , 9688666663 , 9688666661 , 6056661",http://www.thecamford.org,,3.9,"Schools , CBSE Schools , English Medium Schools"
GRG Matriculation Higher Secondary School,"Avinashi Road, Peelamedu, Coimbatore - 641004, Near Proprer Hope College",+(91)-422-3213200,http://www.grgmhss.org,,3.9,Schools
Air Force School,"Inside Air Force College Campus, Dr Kamraj Road, Coimbatore Central, COIMBATORE - 641018, Red Field ...",+(91)-422-2220321,http://www.afschoolcbe.in,,4.3,"Schools , CBSE Schools , English Medium Schools"
Delhi Public School,"Vadavalli Thondamuthur Road, Thondamuthur, Coimbatore - 641109, Onapalayam Village Deenampalayam Post",,http://www.dpscoimbatore.com,,3.9,"Schools , CBSE Schools , English Medium Schools"
Mani Higher Secondary School,"Nethaji Road, Papanaickenpalayam, Coimbatore - 641037",+(91)-422-2243406,,,4.4,Schools
ST Josephs Matriculation Higher Secondary School,"No 1591, Trichy Road, Coimbatore Central, Coimbatore - 641018",+(91)-422-2302443,,,4.6,Schools
Alvernia Matriculation Higher Secondary School,"Trichy Road, Ramanathapuram Coimbatore, Coimbatore - 641045","+(91)-422-2316479 , 2316205",,,4.3,"Schools , Schools- Academic- Elementary & Secondary"
GRD CPF Matriculation School,"No 1/1220, Avinashi Road, Chinniampalayam, Coimbatore - 641062, Neelambur Opposite Psg Foundry Divis...","+(91)-422-3205757 , +(91)-9842225005",,,3.8,Schools
Lisieux Matriculation Higher Secondary School,"No 4, Alagesan Road, Saibaba Colony, Coimbatore - 641011","+(91)-422-2440537 , 2441150",http://www.lisieuxmhss.com,,4.4,Schools
Carmel Garden Matriculation Higher Secondary School,"Puliakulam Road, Ramanathapuram Coimbatore, Coimbatore - 641045",+(91)-422-2220904,http://www.carmel.ac.in,,4.0,"Schools , English Medium Schools"
St Francis Anglo Indian Girls High School,"No 1591, Trichy Road, Coimbatore Central, Coimbatore - 641018, Near General Hospital",+(91)-422-2301519,,,4.1,"Schools , School For Girls"
Isha Home School,"Coimbatore Ho, Coimbatore - 641001, Velliangiri Foothills Semmedu Post","+(91)-422-2515444 , 2515445",http://www.ishahomeschool.org,,4.2,"Schools , English Medium Schools , ICSE Schools , Isc Schools , Residential Schools In Coimbatore"
Vidhya Niketan Matric HR Sec School,"361,363/1, Vilankurichi Road, Vilankurichi, Coimbatore - 641035",+(91)-422-2665377,,,4.2,Schools
Vivekalaya Matriculation School,"No 1602, Trichy Road, Coimbatore - 641018, Opp To Richmend Hospital","+(91)-422-4391232 , 2303392",,,4.4,Schools
Presentation Convent Higer Secondary School,"No 17, Head Post Office Road, Coimbatore Ho, Coimbatore - 641001",+(91)-422-2392458,,,4.1,Schools
Psg Saravajana Higher Secondary School,"Peelamedu, Coimbatore - 641004, Avinashi Road","+(91)-422-2572310 , 6579149",,,4.7,"Schools , English Medium Schools , Tamil Medium Schools"
G R Damodaran Matric Higher Sec School,"Avinashi Road, Coimbatore Aerodrome, Coimbatore - 641014, Opp To Gpt","+(91)-422-2573441 , 2591862",http://www.grd.org,,4.3,Schools
Vidya Vikasini Matriculation Higher Secondary School,"No 66-D, Mettupalayam Road, Thudialur, Coimbatore - 641034, Near Venugopal Hospital",+(91)-422-2642284,http://www.vidyavikasini.org,,4.3,"Schools , English Medium Schools , Senior Secondary Schools"
CMS Matriculation Higher Secondary School,"Sathy Road, Ganapathy, Coimbatore - 641006","+(91)-422-2531050 , 2535024 , 2530037",,,4.1,"Schools , English Medium Schools"
Delhi Public School,"3 Rd Floor Abovr ICICI Bank, D B Road, R S Puram, Coimbatore - 641002","+(91)-422-2477118 , 2474118",,,4.2,Schools
CSI Boys Higher Secondary School,"Ismail Street, Coimbatore Ho, Coimbatore - 641001","+(91)-422-2396610 , +(91)-9443017525",,,3.9,"Schools , English Medium Schools , Tamil Medium Schools"
Amrita Vidyalayam,"Nallampalayam Road, Ganapathy, Coimbatore - 641006, Ramasamy Nagar 2nd Extension Kavundampalayam","+(91)-422-2538326 , +(91)-9944207941 , 9443384495 , 2537537",http://www.amritavidyalayam.org,,4.3,"Schools , CBSE Schools , English Medium Schools"
Sri Ramakrishna Matriculation Higher Secondary School,"SNR College Road, Avarampalayam, Coimbatore - 641006","+(91)-422-2562799 , 2561460",,,4.5,Schools
Satchidananda Jothi Niketan Matriculation School,"120, Kallar, Mettupalayam, Coimbatore - 641301, Near Kallar Bus Stop",+(91)-4254-225465,,,4.3,Schools
Chandrakanthi Public School,"Tex Park Road, Coimbatore Aerodrome, Coimbatore - 641014","+(91)-422-3222242 , +(91)-9789650505 , 9952334343",http://www.grgeducation.com,,0.0,"Schools , CBSE Schools , English Medium Schools"
BVM Global School,"No 635 680/6 681/1 Kathirivan Gardens, Off Trichy Road, Singanallur, Coimbatore - 641005, Behind Cen...","+(91)-422-2314973 , 6471116",http://www.bvmglobal.org,,3.9,"Schools , CBSE Schools , English Medium Schools"
Nirmala Matha Matriculation Higher Secondary School,"Kunniyamuthur, Coimbatore - 641008",+(91)-422-2250324,http://www.nirmalamathakuniamuthur.com,,4.1,"Schools , English Medium Schools , ICSE Schools , ICSE Boarding Schools"
Sri Baldevdas Kikani Vidyamandir Higher Secondary School,"Sastri Road, R S Puram, Coimbatore - 641002",+(91)-422-2554733,,,4.3,Schools
DR Dasarathan International School,"No 3/31, Mettupalayam Main Road, Vadamadurai Kurudampalayam, Coimbatore - 641017, Thoppampatti Piriv...","+(91)-9489663338 , 9489663339",http://www.dasarathanschool.com,,4.3,"Schools , CBSE Schools , Boarding Schools , English Medium Schools , ICSE Schools , International Schools , Convent Schools , School Pre Primary , IGCSE Schools , Correspondence Schools , Isc Schools , Schools Pre Primary 1 , Primary Schools , NOS Schools , IB Schools"
Sri Baldevdas Kikani Vidyamandir High School,"No 9, Rangaswamy Road, R S Puram, Coimbatore - 641002",+(91)-422-2552124,,,4.2,"Schools , Nursery Schools , Primary Schools , Schools- Academic- Elementary & Secondary"
Shri Nehru Vidyalaya Matriculation HR Sec School,"No 26, Robertson Road, R S Puram, Coimbatore - 641002","+(91)-422-2473109 , 2470791",,,4.2,Schools
Psgr Krishnammal Higher Secondary School For Girls,"Avinash Road, Peelamedu, Coimbatore - 641004, Near Police Station","+(91)-422-2572900 , +(91)-9994566911",http://www.grgeducation.com,,4.0,"Schools , Girls Boarding Schools , School For Girls"
Angappa CBSE Senior Higher Secondary School,"Raja Annamalai Road, Saibaba Colony, Coimbatore - 641011, Near Loom World","+(91)-422-2447532 , 2215644",,,3.9,Schools
Yuvabharathi Nursery School,"No 40, Bharathi Park Road 2nd Cross, Saibaba Colony, Coimbatore - 641011",+(91)-422-2432721,http://www.yuvabharathi.ac.in,,3.9,"Schools , Nursery Schools"
R K Sree Rangammal Kalvi Nilayam Higher Secondary School,"No 91, Avinashi Road, Coimbatore Central, Coimbatore - 641018, Near Voc Park Opposite LIC","+(91)-422-2215085 , 6523455",,,4.2,Schools
Hindusthan Matriculation HR Sec School,"Sowripalayam, Coimbatore - 641028, Behind Nava India Hindusthan Garden","+(91)-422-2562633 , 6530042",,,4.1,Schools
Sri Gopal Naidu Higher Secondary School,"Peelamedu, Coimbatore - 641004, Bharathi Nagar",+(91)-422-2561787,,,4.3,Schools
Sri Sowdeswari Vidyalaya Matriculation Higher Secondary School,"Ramamurthy Road, Selvapuram, Coimbatore - 641026","+(91)-422-2345400 , 2340090",,,4.3,"Schools , Primary Schools"
Vivekam International Public CBSC School,"No 345, Thudialur Road, Saravanampatti, Coimbatore - 641035","+(91)-422-6464455 , +(91)-9500444459",,,4.0,"Schools , CBSE Schools , English Medium Schools"
Vedanta Academy,"Sf No 342, Seerapalayam Pollachi Road, Malumichampatti, Coimbatore - 641050, Malumichampatti",+(91)-422-3358707,http://www.vedantaacademy.in,,4.2,"Schools , CBSE Schools , Boarding Schools , English Medium Schools , Convent Schools , IGCSE Schools , Gseb Schools , Correspondence Schools , Isc Schools , Rbse Schools , IB Schools , NOS Schools , Wbse Schools"
Gedee Public School,"No 634/2, Eachnari To Chettiplayam Road, Eachanari, Coimbatore - 641021, Opposite Eachnari Temple","+(91)-422-6464777 , +(91)-9629942640 , 6464888",http://www.gedeepublicschool.com,,4.1,"Schools , CBSE Schools"
Sri Jayendra Saraswathi Vidyalaya Matriculation Higher Secondary School,"No 182, Aerodrome Road, Singanallur, Coimbatore - 641005","+(91)-422-6585107 , 2270616",,,4.3,Schools
Park Global School,"Kalapatti Road, Coimbatore Aerodrome, Coimbatore - 641014, Sitra",+(91)-422-2627255,http://www.parkglobalschool.com,,3.7,"Schools , CBSE Schools , English Medium Schools"
Manchester International School,"No 12, Sathyamoorthi Road, Ramnagar, Coimbatore - 641009, Near Tharakaram Silks","+(91)-422-6455556 , +(91)-9244655556 , 9244444466 , 9244555557 , 6455557 , 6555551 , 6555552 , 6555553 , 6555554",http://www.manchesters.in,,4.0,"Schools , CBSE Schools , Boarding Schools , English Medium Schools , ICSE Schools , International Schools , Nursery Schools , Public Schools , Montessori Schools , IGCSE Schools , IGCSE Boarding Schools , School Co Education , IB Schools , Schools In Ooty"
Coimbatore Public School,"S F No 492/2b, 492/1a, Saravanampatti, Coimbatore - 641035, Chinnamettupalayam Near S N S Arts College","+(91)-8883444966 , 8870002502",http://www.coimbatorepublicschool.com,,4.3,"Schools , CBSE Schools , English Medium Schools"
St Joseph Matriculation Higher Secondary School,"Ondipudur, Coimbatore - 641016, Ondipudur",+(91)-422-2271367,,,3.8,"Schools , English Medium Schools"
Vel International Public School,"No 581/1 B, Kng Pudur Road, Kanuvai, Coimbatore - 641108, Opposite Mgm Matriculation & Near Ranganat...","+(91)-422-2400949 , +(91)-9444745000",http://www.velinternational.com,,3.9,"Schools , CBSE Schools , English Medium Schools"
GKD Matriculation Higher Secondary School,"Perianaickenpalayam, Coimbatore - 641020, Srkv Post",+(91)-422-2693336,http://www.gkdschool.com,,4.2,"Schools , Schools- Academic- Elementary & Secondary"
Rathinam International Public School,"No 1318, Avinashi Road, Peelamedu, Coimbatore - 641004, Opposite Suguna Kalyana Mandapam",+(91)-422-4510091,http://www.ripschool.in,,4.1,Schools
Sri Avinashilingam Higher Secondary School For Girls,"Bharathi Park Road Sb Colony, Coimbatore, Coimbatore - 641012",+(91)-422-2437207,,,4.8,"Schools , School For Girls"
Vivekam Matriculation Higher Secondary School,"33. No 4, Veerapandi Road, Coimbatore Press Colony, Coimbatore - 641019, Immaculte Mtric Back Side",+(91)-422-2692808,,,3.8,"Schools , English Medium Schools"
Karunya Christian School,"Karunya University, Karunyanagar, Coimbatore - 641114","+(91)-422-2614830 , +(91)-9487846615 , 2614831 , 2614832",,,0.0,"Schools , CBSE Schools"
